rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed2:GP158,2,GP158,True
seed2:GP159,2,GP159,True
seed2:GP160,2,GP160,True
seed2:GP161,2,GP161,True
seed2:GP162,2,GP162,True
seed2:GP163,2,GP163,True
seed2:GP164,2,GP164,True
seed2:GP165,2,GP165,True
seed2:GP166,2,GP166,True
seed2:GP167,2,GP167,True
seed2:GP168,2,GP168,True
seed2:GP169,2,GP169,True
seed2:GP170,2,GP170,True
seed2:GP171,2,GP171,True
seed2:GP172,2,GP172,True
seed2:GP173,2,GP173,True
seed2:GP174,2,GP174,True
seed2:GP175,2,GP175,True
seed2:GP176,2,GP176,True
seed2:GP177,2,GP177,True
seed2:GP178,2,GP178,True
seed2:GP179,2,GP179,True
seed2:GP180,2,GP180,True
seed2:GP181,2,GP181,True
seed2:GP182,2,GP182,True
seed2:GP183,2,GP183,True
seed2:GP184,2,GP184,True
seed2:GP185,2,GP185,True
seed2:GP186,2,GP186,True
seed2:GP187,2,GP187,True
seed2:GP188,2,GP188,True
seed2:GP189,2,GP189,True
seed2:GP190,2,GP190,True
seed2:GP191,2,GP191,True
seed2:GP192,2,GP192,True
seed2:GP193,2,GP193,True
seed2:GP194,2,GP194,True
seed2:GP195,2,GP195,True
seed2:GP196,2,GP196,True
seed2:GP197,2,GP197,True
seed2:GP198,2,GP198,True
seed2:GP199,2,GP199,True
seed2:GP200,2,GP200,True
seed2:GP201,2,GP201,True
seed2:GP202,2,GP202,True
seed2:GP203,2,GP203,True
seed2:GP204,2,GP204,True
seed2:GP205,2,GP205,True
seed2:GP206,2,GP206,True
