gp_idx,total_loading,mean_loading,frac_active,entropy,f_stat_level1,f_stat_cluster,eta_sq_level1,eta_sq_cluster,gini_cluster,n_strong_genes,max_gene_effect,match_count,mean_corr,group_idx,within_group_pos
119,19988.297547939004,0.0315430049487426,0.03532044362805436,9.97300862206066,373.2205421419183,154.58869007291045,0.004689725681845653,0.02683177936254711,0.5542670779752333,587,0.6945751,0,,29,3
120,9568.337122297029,0.015099540342342602,0.017047929251803737,9.187822598300746,461.2255800769583,185.04076107603007,0.005789156561125459,0.03194844546697847,0.5670198554797258,844,0.48482847,3,0.6021244265054825,30,0
121,11463.273869109595,0.018089890022644717,0.02076271453910782,9.398425099610474,84.80119307405236,54.90906920865043,0.001069450458348533,0.0096982962593866,0.5671845864939862,466,0.41417408,0,,30,1
122,9645.874152011265,0.015221899483040861,0.015837546789882653,9.189662011900218,124.44851380126252,55.10467768543066,0.0015686690529873796,0.009732509290939873,0.6113310205637804,1130,1.7977006,8,0.7988532096057213,30,2
123,3748.1985198409675,0.005914933184112219,0.005938291009399007,8.231600556468443,96.87413198614094,532.1293844717568,0.0012215195277350376,0.0866809379624149,0.9104558714135573,4850,1.9654906,0,,30,3
124,2622.021545767784,0.004137743016657805,0.004140865163078127,7.8723145275028585,239.05549781818934,562.8874866239877,0.0030089392115147484,0.09123415019534792,0.917098331394509,2240,1.2051884,0,,31,0
125,4217.244929971282,0.006655122947669945,0.006866198294418038,8.358633456995232,163.72192047215438,269.10704896451335,0.002062687822754296,0.04579827390918341,0.7495786538527407,1741,1.8870707,0,,31,1
126,8098.710488541848,0.012780361329214321,0.013236881474047002,9.01389756339077,367.54044693150774,172.86136170895756,0.004618681747932467,0.029908488994036017,0.6497004666504645,867,0.95223045,3,0.7240133173591291,31,2
127,5627.492833351906,0.008880597953162626,0.008941365096799036,8.63826401012636,574.9058646976601,451.5878918186831,0.0072057535452705965,0.07453910915930234,0.8072905634941179,1074,0.95435834,0,,31,3
128,4076.251168120785,0.006432624412358187,0.006452743007555817,8.315046853211847,43.01143801644842,44.34114191427113,0.0005427147364210643,0.007846385305462404,0.511262310495998,1813,0.56338215,0,,32,0
129,4571.357747065664,0.0072139390406979875,0.007345932673067333,8.438628029924804,116.01076556558903,30.69608894763416,0.001462467083468609,0.00544497262017734,0.4927146413839228,1208,1.3998598,0,,32,1
130,39587.58486140033,0.0624721231108886,0.07388540660644738,10.630183756692055,1982.7531310682198,312.43078618875927,0.024420509434947526,0.05278220264010072,0.5037493954514021,316,0.29982805,5,0.6536833969012077,32,2
131,3590.368341929599,0.005665865544860844,0.005892526874593646,8.205601294031213,226.88714340145847,171.4760696925663,0.0028562162579084207,0.02967591846328896,0.712524216820011,873,0.7700975,0,,32,3
132,30202.162633597658,0.0476612359371511,0.06185101722625157,10.38469334413502,146.25255783944795,89.91454664384054,0.0018430017169588854,0.015783540218468086,0.4769022834872202,440,0.38138342,2,0.7455550917185325,33,0
133,867.0,0.0013681898233188783,0.0013681898233188783,6.765038976780544,41.42527807380237,147.05823266614246,0.0005227111641579654,0.025558132445147097,0.892016542028653,2094,0.9318089,0,,33,1
134,8197.375241790642,0.012936061572945887,0.013192695412855619,9.023874932249548,222.19953798112545,216.23687632946516,0.0027973704320172848,0.037134635263657095,0.6401576687242497,451,0.46529746,1,0.8720935951028715,33,2
135,6404.162621863153,0.010106240053186055,0.01014385719065023,8.765843958058738,258.1360828263711,70.353736442435,0.003248322230166795,0.012392400178140783,0.5768559891790759,1581,1.4259108,3,0.7440317012488933,33,3
136,15135.013180633498,0.023884164947566133,0.025476420424059943,9.642305879668017,292.8457664829617,148.75837646168944,0.0036834916516749862,0.025845973712884274,0.5412900858998653,854,0.8756355,1,0.6643407202035435,34,0
137,9349.242754784305,0.014753793301999586,0.015338875527865625,9.157883123916054,78.10927459726739,59.774999100123736,0.0009851400295001244,0.010548673536989633,0.5384000408040364,825,0.8133559,4,0.6488962329695998,34,1
138,8858.86041132085,0.013979933865019235,0.01511794522190871,9.110607716149019,77.89529408442276,82.05524574823127,0.000982443887846073,0.014423823066764613,0.5539676505472739,782,0.6761904,4,0.665218783743752,34,2
139,2846.3702528457434,0.004491781791627599,0.004604818805587643,7.972733943804141,137.82354413352638,71.80105754583921,0.001736967992094489,0.01264411389117178,0.6398132878878071,664,0.97552514,0,,34,3
140,5999.059354410199,0.0094669572758823,0.009954488356972876,8.736021866515149,293.2025662875961,82.06121900195282,0.0036879630228734395,0.014424857910415643,0.5098218859969813,1725,0.518376,1,0.5794370308824803,35,0
141,3449.108431281318,0.0054429470071539095,0.005449088189065843,8.146066432430953,103.72993384805405,166.12542797970912,0.0013078536508509043,0.02877657482264057,0.7884855088774941,824,0.39057922,0,,35,1
142,22844.4777858488,0.036050267618953295,0.03658605866646467,10.04674120881694,46.721791577636075,56.441030796772694,0.0005895040693273339,0.00996618179868522,0.3849712728555392,445,0.32781112,0,,35,2
143,47.0,7.416945985696341e-05,7.416945985696341e-05,3.850147601710058,13.568411312279277,16.67509276358084,0.00017126870989675748,0.0029652573368901536,0.9718682802527728,2517,1.6687086,0,,35,3
144,1571.9176132039481,0.0024806017087443395,0.002485465942015263,7.361223080016205,897.2997124586094,246.82190462171536,0.011201310198924744,0.042165570583267496,0.8477754473750263,930,0.715947,0,,36,0
145,40335.726807994775,0.06365274617631939,0.0763377330025691,10.66252857693047,167.62455887454894,113.33796215767012,0.002111752268366109,0.01981380210723241,0.39511105981798655,295,0.40791583,1,0.6311823153250091,36,1
146,7153.505375651114,0.01128875808076441,0.011406316081832586,8.879716416780465,46.948741172772564,22.22234825107415,0.0005923658700861899,0.003947806737670897,0.4422258239236586,1047,0.43286502,0,,36,2
147,20763.400469667722,0.0327661744176399,0.034087968135537584,9.956993347374517,1368.9784559330906,229.13625819814808,0.01698940716977744,0.039262886386325864,0.601802869080586,1137,1.525533,3,0.8161313190373406,36,3
148,20286.864298733784,0.03201416526018297,0.0486977736537454,10.074080964782103,601.9902310036948,138.6927548318318,0.007542662993689078,0.024139341733431897,0.5711484571475455,310,0.27674198,0,,37,0
149,923.0012441448966,0.0014565639090538764,0.0014565619457016432,6.82764296424088,189.01540966945612,282.6493646344802,0.0023805949805052605,0.047992378845066234,0.9061266887858141,941,1.4399565,0,,37,1
150,2472.487045360989,0.003901766567186467,0.0039057321945954134,7.813567434025504,237.5634937265646,115.4888824079202,0.002990215837521839,0.020182238089510772,0.7787551036448584,1023,0.94318104,0,,37,2
151,7331.331827706623,0.011569381312620522,0.012384721722498911,8.924974846230311,136.0078996852262,59.43559966409795,0.0017141249397860775,0.010489406960953922,0.49949016770639754,829,0.4498294,1,0.5588583345831221,37,3
152,1377.48775951484,0.002173777086867966,0.00222666186932288,7.2358294044414055,103.88577093550067,125.27150256176425,0.0013098159113081101,0.021854436578892737,0.8104282420602711,1945,0.85662913,0,,38,0
153,689.0008449783472,0.0010872940534688382,0.001087292720030804,6.535253594576863,96.08707265954394,59.395489661734615,0.0012116072480796987,0.010482402406819103,0.8149244582456684,1538,1.4249511,0,,38,1
154,12129.223674218352,0.019140807838320603,0.019596518138378118,9.411802612719061,62.80436877885794,83.12328436274336,0.0007922624214314622,0.014608822185811474,0.4964434005999372,605,0.3889153,7,0.7167270244646675,38,2
155,5091.704190899508,0.008035084033839434,0.008193358203773489,8.541182397857742,124.17021080470147,84.92981260293865,0.0015651665443004849,0.014921579927401875,0.5865334892536183,658,0.87035894,1,0.4896121761791763,38,3
156,35364.31955125863,0.0558074995601256,0.05720043428585857,10.493569768108937,176.13960477436987,105.99804127233242,0.0022187877177756127,0.0185544417619506,0.4229498791375654,587,0.49002528,2,0.7759393863849429,39,0
157,4299.6274419004085,0.0067851286159985235,0.006952992343186825,8.373706960435843,91.78448268231274,65.91312922637576,0.00115741665419604,0.01161930159409986,0.5872176688735297,1004,0.73098063,0,,39,1
158,4031.814121912777,0.00636249948225421,0.006373839326856919,8.302938122480292,280.9511561500861,261.74683544074446,0.0035344068861686154,0.044601536164601614,0.7763138111359835,1309,0.8147352,0,,39,2
159,1396.2281617071358,0.0022033508210829622,0.002204568838727189,7.2417715701520935,23.165663853019137,38.55378524317356,0.0002923756282320962,0.00682927767011079,0.7120674711555666,947,1.1946204,0,,39,3
160,618.9987145066261,0.0009768255384491737,0.0009768275670523478,6.428105272496055,303.67702499786566,167.86988869548512,0.0038192097682578398,0.029069969421788164,0.9284766618873709,1438,1.8959727,0,,40,0
161,2620.393517506433,0.004135173868215756,0.0041598020464458626,7.871700058081485,138.60318491195878,119.60916535619792,0.0017467765163336473,0.020887237735527586,0.7880229711370893,888,1.1130077,0,,40,1
162,11553.637161831868,0.0182324899505619,0.018756982975741854,9.359172734680023,61.83293498150575,56.82166105244606,0.0007800175699633759,0.010032718002159605,0.44767489857808035,571,0.39414686,6,0.6323588658766844,40,2
163,25465.500259583605,0.04018643402639739,0.04720175986769431,10.2107899915294,214.6939796674617,118.63092773675055,0.00270313498698264,0.020719948568804446,0.5214165816916662,151,0.25396955,3,0.6755916415787757,40,3
164,35597.45281513405,0.05617540101238796,0.06050176428630043,10.525160658708723,407.92173920090124,109.95296508765507,0.00512353164334521,0.019233416841268614,0.3894309423832884,430,0.4619236,3,0.5542153682071205,41,0
165,4476.63955705495,0.007064466764278332,0.0071281585143383765,8.41223953873029,63.43507228392812,57.29231235751985,0.0008002122319883152,0.010114978001258268,0.5219787698620411,848,0.5864059,0,,41,1
166,10774.865711314347,0.017003531273180873,0.01721362698127142,9.292002888138793,2012.4610125451118,303.51918063252293,0.02477733958432406,0.0513539868525245,0.723051931499317,931,0.95657873,0,,41,2
167,28078.00504833434,0.044309158899915956,0.05834769380322053,10.3534613808588,97.13679650784209,59.492000944026664,0.0012248274991224538,0.010499256351786716,0.42873156164103154,245,0.31382787,2,0.7332154416024342,41,3
168,2840.9637267754324,0.004483249895492757,0.004846264068526268,8.185694330675137,29.44308765953394,16.1813630545483,0.00037157403871120254,0.0028777122425655967,0.5843769112052377,85,0.20414722,0,,42,0
169,5589.923748881898,0.008821311172259198,0.00899186345244633,8.638593090494979,1812.1309744909377,208.70461504664306,0.022366049022360487,0.03588753181703489,0.703517512705037,706,0.5566716,0,,42,1
170,1074.662830875533,0.0016958970573275212,0.0017090537239381142,6.985952544514449,158.7252121094979,80.23751400405567,0.001999861552504196,0.014108806920256406,0.8505882025661229,1161,0.6821874,0,,42,2
171,11911.528349307917,0.018797268590193088,0.045614217812032495,9.730959841696725,759.7338232242985,133.07394196089803,0.009500341249315758,0.023184065545084395,0.5737158070380336,397,0.45648718,1,0.6844221947339029,42,3
172,34196.65684319551,0.05396484185050516,0.054981662784605576,10.443428276139178,338.77155389709316,112.20603484274089,0.004258698267313641,0.019619800426271518,0.4497041911062995,342,0.30721712,2,0.7428379711755393,43,0
